,Player,rushAtt,rushYds,rushAvg,rushTD,recRec,recYds,recAvg,recTD,scrPlays,scrYds,scrAvg,scrTD
0,Brian Calhoun,619,2760,4.5,27,90,909,10.1,4,709,3669,5.2,31
1,Cedric Humes,373,1805,4.8,21,29,224,7.7,0,402,2029,5.0,21
2,David Kirtman,46,470,10.2,2,21,94,4.5,1,67,564,8.4,3
3,DeAngelo Williams,969,6026,6.2,55,70,723,10.3,5,1039,6749,6.5,60
4,JD Runnels,51,450,8.8,5,2,5,2.5,0,53,455,8.6,5
5,Jerious Norwood,573,3222,5.6,15,43,186,4.3,2,616,3408,5.5,17
6,Jerome Harrison,482,2800,5.8,25,34,275,8.1,1,516,3075,6.0,26
7,Joseph Addai,490,2576,5.3,18,66,641,9.7,6,556,3217,5.8,24
8,Justin Hamilton,75,336,4.5,3,34,369,10.9,1,109,705,6.5,4
9,Laurence Maroney,660,3933,6.0,32,21,197,9.4,1,681,4130,6.1,33
10,LenDale White,541,3159,5.8,52,31,331,10.7,5,572,3490,6.1,57
11,Leon Washington,369,2041,5.5,12,55,481,8.7,1,424,2522,5.9,13
12,PJ Daniels,707,3346,4.7,23,56,369,6.6,3,763,3715,4.9,26
13,Quinton Ganther,314,1774,5.6,9,32,363,11.3,2,346,2137,6.2,11
14,Reggie Bush,433,3169,7.3,25,95,1301,13.7,13,528,4470,8.5,38
15,Wali Lundy,742,3193,4.3,43,114,895,7.9,9,856,4088,4.8,52
